"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Cervelló, Barcelona","Barcelona","9211969","Cervello","Cervello,Catalonia,Spain","Municipality"
"Ceuta, Ceuta","Ceuta","1005447","Ceuta","Ceuta,Ceuta,Spain","City"
"Ceutí, Murcia","Murcia","9049035","Ceuti","Ceuti,Region of Murcia,Spain","City"
"Chandrexa de Queixa, Ourense","Ourense","9221142","Chandrexa de Queixa","Chandrexa de Queixa,Galicia,Spain","Municipality"
"Chantada, Lugo","Lugo","9221610","Chantada","Chantada,Galicia,Spain","Municipality"
"Chauchina, Granada","Granada","9261809","Chauchina","Chauchina,Andalusia,Spain","Municipality"
"Chiclana de la Frontera, Cádiz","Cádiz","9049036","Chiclana de la Frontera","Chiclana de la Frontera,Andalusia,Spain","City"
"Chipiona, Cádiz","Cádiz","9049037","Chipiona","Chipiona,Andalusia,Spain","City"
"Chiva, Valencia","Valencia","9208088","Chiva","Chiva,Valencian Community,Spain","Municipality"
"Churriana de la Vega, Granada","Granada","9241899","Churriana de la Vega","Churriana de la Vega,Andalusia,Spain","Municipality"
"Ciempozuelos, Madrid","Madrid","9221247","Ciempozuelos","Ciempozuelos,Community of Madrid,Spain","Municipality"
"Cieza, Murcia","Murcia","9049038","Cieza","Cieza,Region of Murcia,Spain","City"
"Ciudad Real, Ciudad Real","Ciudad Real","1005456","Ciudad Real","Ciudad Real,Ciudad Real,Castile-La Mancha,Spain","City"
"Ciudad Rodrigo, Salamanca","Salamanca","9049041","Ciudad Rodrigo","Ciudad Rodrigo,Castile and Leon,Spain","City"
"Ciutadella de Menorca, Baleares","Baleares","9207479","Ciutadella de Menorca","Ciutadella de Menorca,Balearic Islands,Spain","Municipality"
"Cocentaina, Alicante","Alicante","9217429","Cocentaina","Cocentaina,Valencian Community,Spain","Municipality"
"Colindres, Cantabria","Cantabria","9234171","Colindres","Colindres,Cantabria,Spain","Municipality"
"Collado Villalba, Madrid","Madrid","9195829","Collado Villalba","Collado Villalba,Community of Madrid,Spain","City"
"Colmenar Viejo, Madrid","Madrid","9049044","Colmenar Viejo","Colmenar Viejo,Community of Madrid,Spain","City"
"Colmenarejo, Madrid","Madrid","9249466","Colmenarejo","Colmenarejo,Community of Madrid,Spain","City"
